                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0622,                 1.2047,                 0.8459,                0.35027,                0.47225,                0.45744,                0.27781,                 1.2093,                 5.4405,                0.84532,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.1013,                0.64241,                0.85291,                0.38597,                0.39962,                0.36494,                0.20299,                 1.3119,                 3.4799,                0.87601,             0.00058577,             0.00058577,             0.00058577
                      3,                 1.1179,                0.62953,                0.86409,                0.00013,                0.00196,                  7e-05,                  1e-05,                 4.6934,                  94828,                 19.598,             0.00078879,             0.00078879,             0.00078879
                      4,                   1.14,                0.60413,                0.86193,                0.73054,                0.21483,                 0.2372,                0.15813,                 1.1008,                 1.0938,                0.88092,              0.0009258,              0.0009258,              0.0009258
                      5,                  1.155,                0.60799,                0.85966,                0.90336,                0.42939,                0.43589,                0.25981,                 1.1855,                 1.0491,                0.85184,              0.0009968,              0.0009968,              0.0009968
                      6,                 1.0785,                0.55736,                0.85629,                 0.5431,                0.32212,                0.32444,                0.15745,                 1.5488,                 1.1434,                0.92404,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.0584,                0.54937,                 0.8402,                0.63093,                0.49417,                0.50752,                0.32932,                 1.0339,                0.61549,                 0.8327,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.0172,                0.51174,                0.83694,                0.76881,                0.58179,                0.58471,                0.38038,                0.92497,                0.47772,                0.81669,              0.0006768,              0.0006768,              0.0006768
                      9,                0.98222,                0.49852,                0.83437,                0.76441,                0.56866,                0.56668,                0.37388,                 0.9166,                0.49477,                0.81699,             0.00051177,             0.00051177,             0.00051177
                     10,                0.95876,                 0.4799,                 0.8251,                0.80706,                0.56872,                0.58431,                0.39698,                0.88412,                0.45494,                0.81336,             0.00034674,             0.00034674,             0.00034674
