                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2648,                 3.2509,                0.93171,                0.87599,                0.90458,                0.93036,                0.59621,                  1.104,                 1.3477,                0.89189,              3.156e-05,              3.156e-05,              3.156e-05
                      2,                 1.1799,                 1.2251,                0.90317,                 0.7915,                0.92404,                0.90884,                0.54508,                 1.0942,                  1.698,                 0.8781,              6.161e-05,              6.161e-05,              6.161e-05
                      3,                 1.1071,                0.73429,                0.91226,                0.83797,                0.91698,                0.88031,                0.54746,                 1.1006,                 1.0385,                0.88931,              8.437e-05,              8.437e-05,              8.437e-05
                      4,                 1.0999,                0.66084,                 0.9084,                0.81517,                0.90722,                0.86216,                 0.5272,                 1.0736,                0.98136,                0.88288,              9.984e-05,              9.984e-05,              9.984e-05
                      5,                 1.1032,                0.64783,                0.89486,                0.81883,                0.91472,                0.87421,                 0.5598,                 1.0515,                 1.0119,                0.87458,             0.00010802,             0.00010802,             0.00010802
                      6,                 1.1652,                0.68215,                0.88469,                0.86288,                0.89691,                0.91248,                0.56697,                 1.1133,                 1.0354,                0.88161,             0.00010891,             0.00010891,             0.00010891
                      7,                 1.1141,                0.64734,                0.89694,                0.91429,                0.91319,                0.95086,                0.62669,                 1.0305,                0.65127,                  0.868,             0.00010251,             0.00010251,             0.00010251
                      8,                 1.1252,                0.60785,                0.87654,                0.92941,                0.92078,                0.95679,                0.61288,                 1.0536,                0.72449,                 0.8716,             8.8815e-05,             8.8815e-05,             8.8815e-05
                      9,                 1.0811,                0.57706,                0.89094,                0.93443,                0.90474,                0.95892,                0.64879,                 1.0331,                0.54381,                0.87152,             6.7833e-05,             6.7833e-05,             6.7833e-05
                     10,                 1.0511,                0.55032,                0.87012,                0.94663,                0.91426,                0.96817,                0.67093,                0.99933,                0.53563,                0.86618,              3.956e-05,              3.956e-05,              3.956e-05
